ID	District	Borough	School_Number	PS_Num	School_Name	Address	Lat	Long
1	2	M	M158	PS158	Bayard Taylor	"1458 YORK AVENUE, Manhattan, 10075"	40.7704	-73.95078
2	2	M	M267	PS267	East Side Elementary School	"213 EAST 63RD STREET, Manhattan, 10065"	40.76403	-73.96348
3	2	M	M545		High School for Dual Language and Asian Studies	"350 GRAND STREET, Manhattan, 10002"	40.71734	-73.98932
4	4	M	M372		Esperanza Preparatory Academy	"240 EAST 109 STREET, Manhattan, 10029"	40.79925	-73.94237
5	5	M	M161	PS161	Pedro Albizu Campos	"499 WEST 133 STREET, Manhattan, 10027"	40.81772	-73.952478
6	6	M	M278		Paula Hedbavny School	"421 W 219TH ST, Manhattan, 10034"	40.871497	-73.91253
7	7	X	X154	PS154	Jonathan D Hyatt	"333 EAST 135 STREET, Bronx, 10454"	40.808079	-73.925709
8	8	X	X130	PS130	Abram Stevens Hewitt	"750 PROSPECT AVENUE, Bronx, 10455"	40.81787	-73.902121
9	8	X	X530		Longwood Preparatory Academy	"965 LONGWOOD AVENUE, Bronx, 10459"	40.817601	-73.897985
10	9	X	X070	PS70	Max Shoenfeld	"1691 WEEKS AVENUE, Bronx, 10457"	40.844395	-73.907769
11	10	X	X056	PS56	Norwood Heights	"341 EAST 207 STREET, Bronx, 10467"	40.875465	-73.874908
12	12	X	X214	PS214	PS214	"1970 WEST FARMS ROAD, Bronx, 10460"	40.839166	-73.880275
13	12	X	X536	PS536	PS536	"1827 ARCHER STREET, Bronx, 10460"	40.837887	-73.865978
14	13	K	K011	PS11	Purvis J Behan	"419 WAVERLY AVENUE, Brooklyn, 11238"	40.685538	-73.966091
15	14	K	K478		"The High School for Enterprise, Business and Technology"	"850 GRAND STREET, Brooklyn, 11211"	40.711844	-73.939213
16	15	K	K001	PS1	The Bergen	"309 47 STREET, Brooklyn, 11220"	40.648888	-74.01149
17	15	K	K088	JHS88	Peter Rouget	"544 7TH AVENUE, Brooklyn, 11215"	40.660773	-73.988708
18	16	K	K267	MS267	"Math, Science & Technology"	"800 GATES AVENUE, Brooklyn, 11221"	40.68819	-73.932454
19	16	K	K243	PS243	The Weeksville School	"1580 DEAN STREET, Brooklyn, 11213"	40.675879	-73.935505
20	17	K	K161	PS161	The Crown	"330 CROWN STREET, Brooklyn, 11225"	40.665757	-73.949242
21	19	K	K214	PS	Michael Friedsam	"2944 PITKIN AVENUE, Brooklyn, 11208"	40.676265	-73.863056
22	19	K	K149	PS149	Danny Kaye	"700 SUTTER AVENUE, Brooklyn, 11207"	40.669525	-73.892801
23	19	K	K618		Academy of Innovative Technology	"999 JAMAICA AVENUE, Brooklyn, 11208"	40.692775	-73.868952
24	19	K	K662		Liberty Avenue Middle School	"350 LINWOOD STREET, Brooklyn, 11208"	40.677097	-73.883811
25	21	K	K177	PS177	The Marlboro	"346 AVENUE P, Brooklyn, 11204"	40.608351	-73.974517
26	21	K	K228	IS228	David A Boody	"228 AVENUE S, Brooklyn, 11223"	40.601078	-73.976762
27	22	K	K139	PS139	Alexine A Fenty	"330 RUGBY ROAD, Brooklyn, 11226"	40.641295	-73.96585
28	22	K	K361	PS361	East Flatbush Early Childhood School	"1957 NOSTRAND AVENUE, Brooklyn, 11210"	40.637673	-73.947686
29	27	Q	Q197	PS197	The Ocean School	"825 HICKSVILLE ROAD, Queens, 11691"	40.599988	-73.743995
30	28	Q	Q055	PS55	"The Maure Magnet School of Communication Arts, Technology and Multimedia"	"131-10 97 Avenue, Queens, 11419"	40.693608	-73.816157
31	28	Q	Q349	PS349	The Queens School for Leadership and Excellence	"88-08 164TH STREET, Queens, 11432"	40.70872	-73.798174
32	30	Q	Q084	PS84	Steinway	"22-45 41 STREET, Queens, 11105"	40.771204	-73.90618
33	21	K	K281	IS281	Joseph B Cavallaro	"8787 24 AVENUE, Brooklyn, 11214"	40.594637	-73.993741
34	21	K	K097	PS97	The Highlawn	"1855 STILLWELL AVENUE, Brooklyn, 11223"	40.601351	-73.985861
35	22	K	K514		Frederick Douglass Academy VII HS	"226 BRISTOL STREET, Brooklyn, 11212"	40.665609	-73.911906
36	26	Q	Q430		Francis Lewis High School	"58-20 UTOPIA PARKWAY, Queens, 11365"	40.740788	-73.793301
37	27	Q	Q090	PS90	Horace Mann	"86-50 109 STREET, Queens, 11418"	40.696643	-73.839552
38	30	Q	Q230	IS230	IS230	"73-10 34 AVENUE, Queens, 11372"	40.752618	-73.892883
39	30	Q	Q111	PS111	Jacob Blackwell	"37-15 13 STREET, Queens, 11101"	40.7586	-73.939373
40	31	R	R078	PS78	PS78	"100 TOMPKINS AVENUE, Staten Island, 10304"	40.622418	-74.079229
41	31	R	R058		Space Shuttle Columbia School	"77 MARSH AVENUE, Staten Island, 10314"	40.583227	-74.160723
42	31	R	R440		New Dorp High School	"465 NEW DORP LANE, Staten Island, 10306"	40.570964	-74.10588
43	31	R	R455		Tottenville HS	"100 LUTEN AVENUE, Staten Island, 10312"	40.527848	-74.192437
44	31	R	R062		The Kathleen Grimm School for Leadership and Sustainability	"644 Bloomingdale Road, Staten Island, 10309"	40.541417	-74.218944
45	31	R	R013	PS13	ML Lindemeyer	"191 VERMONT AVENUE, Staten Island, 10305"	40.613324	-74.068966
46	32	K	K377	PS377	Alejandrina B De Gautier	"200 WOODBINE STREET, Brooklyn, 11221"	40.693783	-73.914955
47	32	K	K549		The Brooklyn School for Social Justice	"400 IRVING AVENUE, Brooklyn, 11237"	40.696908	-73.911639
48	75	X	X811		The Academy for Career and Living Skill	"1434 LONGFELLOW AVENUE, Bronx, 10459"	40.830538	-73.887149
49	75	X	X010	PSX010	PS X010	"2750 LAFAYETTE AVENUE, Bronx, 10465"	40.827048	-73.829654
50	75	Q	Q075		Robert E Peary School	"16-66 HANCOCK STREET, Queens, 11385"	40.698724	-73.904948
51	75	X	P186X		Walter J Damrosch School	"750 JENNINGS STREET, Bronx, 10459"	40.831626	-73.898135
52	79	X	X695		Passages Academy Bronx	"108 West 174th St, Bronx, NY 10453"	40.846757	-73.918316
53	9	X	XAQZ		"Mid-Bronx CCRP Early Childhood Center, Inc"	"1125 Grand Concourse, Bronx, 10452"	40.832782	-73.920139
54	10	X	XAVS		Bedrock Preschool (NYCEEC)	"3220 Arlington Avenue, Bronx, 10463"	40.884675	-73.911876
55	23	K	KCFA		SCO Family of Services	"225 Newport Street, Brooklyn, 11212"	40.659922	-73.906799
56	75	Q	Q009	PS009	Walter Reed School	"58-74 57 STREET, Queens, 11378"	40.718349	-73.912241
